Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
21/09/2022 14:38:27,2,18,Ingeniería Civil,Masculino,6,1.5,9,5,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,Casi todos los días,Casi todos los días,A menudo,A menudo,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,No tener espacio para estudiar,No,9,9,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Seguido,Seguido,Siempre,Nunca,Siempre,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Aveces,Aveces,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,,A menudo,Muy a menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 14:38:37,3,20,Ingeniería Civil,Femenino,6,2.5,7,7,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,Sí,5,7,7,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Aveces,Frecuentemente,Frecuentemente,Aveces,Siempre,Frecuentemente,Frecuentemente,Seguido,Nunca,Frecuentemente,Nunca,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener donde descansar,Sí
21/09/2022 14:39:00,3,20,Ingeniería Industrial,Femenino,6,2.5,8,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,8,5,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,A menudo,A menudo,,No
21/09/2022 14:39:26,3,18,Ingeniería Mecánica,Masculino,4,2.5,8,2,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,A menudo,No tener espacio para estudiar,No,9,3,Exámenes finales,Aveces,Seguido,Aveces,Seguido,Frecuentemente,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Nunca,Seguido,Aveces,Frecuentemente,Nunca,Nunca,Nunca,Siempre,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,De vez en cuando,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:42:53,3,18,Ingeniería Civil,Masculino,6,5,4,5,7,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,5,5,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:43:03,6,18,Ingeniería Industrial,Femenino,6,4,7,4,Exámenes parciales,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,7,3,Exámenes finales,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:44:08,2,17,Ingeniería Mecánica,Masculino,5,2,10,5,Entrega de notas parciales,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,Demasiadas personas,No,10,5,Entrega de notas parciales,Seguido,Frecuentemente,Aveces,Aveces,Aveces,Aveces,Frecuentemente,Siempre,Siempre,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Nunca,Aveces,Seguido,Aveces,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Época de exámenes,No
21/09/2022 14:46:49,2,17,Ingeniería Mecatrónica,Masculino,6,2,10,9,Exámenes parciales,A menudo,A menudo,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,Casi todos los días,A menudo,Nunca,Mucho ruido,No,10,10,Exámenes finales,Siempre,Siempre,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Seguido,Nunca,Frecuentemente,Nunca,Siempre,Siempre,Siempre,Nunca,Siempre,Frecuentemente,Siempre,De vez en cuando,Casi nunca,Muy a menudo,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Época de exámenes,No
21/09/2022 14:47:14,3,19,Ingeniería Ambiental,Femenino,6,2,9,7,7,A menudo,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,8,5,Semana de Entrega de Notas Finales,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Nunca,Seguido,Nunca,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Nunca,Aveces,Aveces,Casi nunca,Casi nunca,Nunca,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Demasiado frío,No
21/09/2022 14:49:04,8,21,Ingeniería Mecatrónica,Masculino,5,3,5,5,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,No,6,6,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Grabaciones,No
21/09/2022 14:49:06,3,18,Ciencia de la computación,Femenino,6,2.5,10,10,Entrega de notas parciales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,No tener espacio para estudiar,Sí,10,6,Exámenes finales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Seguido,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Aveces,Aveces,Frecuentemente,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:49:29,1,17,Ingeniería Industrial,Femenino,7,1.5,10,10,Exámenes parciales,A menudo,Casi todos los días,A menudo,Casi todos los días,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,Casi todos los días,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,No tener espacio para estudiar,No,9,9,7,Siempre,Siempre,Siempre,Frecuentemente,Siempre,Siempre,Aveces,Siempre,Siempre,Siempre,Nunca,Frecuentemente,,Siempre,Frecuentemente,Siempre,Siempre,Frecuentemente,A menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,No tener espacio donde comer (comedor lleno),No
21/09/2022 14:49:42,4,18,Ciencia de la computación,Masculino,5,1,9,5,Exámenes parciales,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Mucho ruido,No,8,3,Exámenes parciales,Aveces,Aveces,Aveces,Seguido,Aveces,Seguido,Seguido,Seguido,Aveces,Nunca,Nunca,Aveces,Seguido,Seguido,Aveces,Aveces,Nunca,Seguido,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Época de exámenes,No
21/09/2022 14:49:42,2,18,Ingeniería Mecatrónica,Masculino,6,6,3,3,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Que no respeten tu espacio personal,No,4,3,7,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Casi nunca,De vez en cuando,Nunca,A menudo,Casi nunca,Nunca,De vez en cuando,De vez en cuando,No entender a los profesores,No
21/09/2022 14:50:31,2,18,Ingeniería Mecatrónica,Femenino,6,2,8,7,Semana de Entrega de Notas Finales,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Casi todos los días,A menudo,En alguna ocasión,A menudo,Nunca,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Demasiadas personas,Sí,7,4,Exámenes finales,Frecuentemente,Aveces,Frecuentemente,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Seguido,Seguido,Seguido,Nunca,Seguido,Nunca,Aveces,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:50:33,2,17,Ingeniería Mecatrónica,Masculino,6,2.5,10,10,Exámenes parciales,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,A menudo,A menudo,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,10,9,Entrega de notas parciales,Siempre,Frecuentemente,Aveces,Aveces,Aveces,Seguido,Siempre,Siempre,Siempre,Siempre,Seguido,Siempre,Siempre,Seguido,Nunca,Seguido,Aveces,Siempre,De vez en cuando,De vez en cuando,Muy a menudo,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:50:55,2,17,Ingeniería Mecatrónica,Masculino,6,2.5,8,5,Entrega de notas parciales,Nunca,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,8,2,Exámenes finales,Aveces,Seguido,Aveces,Nunca,Aveces,Seguido,Siempre,Seguido,Aveces,Frecuentemente,,Frecuentemente,Frecuentemente,Seguido,Seguido,Seguido,Aveces,Seguido,Nunca,A menudo,De vez en cuando,Casi nunca,Nunca,Nunca,Casi nunca,Casi nunca,Época de exámenes,Sí
21/09/2022 14:51:29,2,18,Bioingeniería,Femenino,6,1.5,10,10,Exámenes parciales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Aveces,Aveces,Aveces,Siempre,Nunca,Siempre,Siempre,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Época de exámenes,No
21/09/2022 14:52:06,2,17,Ciencia de Datos,Masculino,6,5.5,2,4,Exámenes parciales,Nunca,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,Nunca,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,4,1,Semana de Entrega de Notas Finales,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Casi nunca,,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,Grabaciones,No
21/09/2022 14:52:37,4,18,Ingeniería Civil,Masculino,6,2.5,8,7,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,8,7,Entrega de notas parciales,Aveces,Aveces,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,De vez en cuando,Nunca,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 14:53:05,8,25,Ingeniería Mecatrónica,Masculino,5,2.5,7,8,7,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Mucho ruido,No,6,7,Exámenes finales,Aveces,Aveces,Seguido,Seguido,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,No entender a los profesores,No
21/09/2022 14:58:57,4,18,Ciencia de la computación,Masculino,5,0.5,10,7,7,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,Mucho ruido,Sí,10,10,Entrega de notas parciales,Seguido,Aveces,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Seguido,Seguido,,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,Sí
21/09/2022 14:59:15,3,19,Ingeniería Ambiental,Femenino,6,3.5,8,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Casi todos los días,Casi todos los días,Nunca,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,No tener espacio para estudiar,No,8,4,Exámenes parciales,Frecuentemente,Frecuentemente,Aveces,Aveces,Aveces,Nunca,Seguido,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,Grabaciones,No
21/09/2022 14:59:19,4,19,Ingeniería Mecatrónica,Masculino,6,4,6,6,Entrega de notas parciales,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,6,6,Entrega de notas parciales,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:59:39,4,18,Ingeniería Química,Femenino,5,1.5,8,6,Exámenes parciales,Casi todos los días,En alguna ocasión,A menudo,Casi todos los días,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,A menudo,A menudo,Nunca,Nunca,En alguna ocasión,A menudo,No tener espacio para estudiar,No,9,6,Exámenes finales,Frecuentemente,Frecuentemente,Siempre,Seguido,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Seguido,Aveces,Seguido,Frecuentemente,Frecuentemente,Aveces,Siempre,Frecuentemente,Frecuentemente,Muy a menudo,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:59:43,4,21,Bioingeniería,Femenino,4,4.5,4,4,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,En alguna ocasión,Nunca,En alguna ocasión,No tener espacio para estudiar,Sí,5,3,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Nunca,Seguido,Nunca,Aveces,Frecuentemente,Seguido,Siempre,Seguido,Aveces,Seguido,Nunca,Nunca,Seguido,Nunca,Casi nunca,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 14:59:49,4,18,Ingeniería Civil,Masculino,4,2.5,8,1,Exámenes parciales,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Mucho ruido,Sí,10,10,Exámenes finales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,Sí
21/09/2022 15:00:15,3,19,Ciencia de la computación,Masculino,4,1.5,9,4,Exámenes parciales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,Casi todos los días,A menudo,Nunca,Nunca,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",Sí,8,9,7,Siempre,Frecuentemente,Siempre,Siempre,Siempre,Frecuentemente,Siempre,Siempre,Nunca,Frecuentemente,Seguido,Siempre,Siempre,Siempre,Siempre,Aveces,Siempre,Siempre,Muy a menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,Nunca,Muy a menudo,Muy a menudo,Grabaciones,Sí
21/09/2022 15:01:09,3,18,Ingeniería Civil,Femenino,5,2.5,8,9,Entrega de notas parciales,Casi todos los días,Casi todos los días,Nunca,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Nunca,Nunca,A menudo,A menudo,A menudo,Casi todos los días,Mucha ventilación,No,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Seguido,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Siempre,Nunca,Siempre,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,No entender a los profesores,No
21/09/2022 15:02:28,4,22,Bioingeniería,Femenino,5,1.5,9,7,Semana de Entrega de Notas Finales,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Casi todos los días,Casi todos los días,Nunca,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,Que no respeten tu espacio personal,Sí,10,6,Semana de Entrega de Notas Finales,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Siempre,Siempre,Siempre,Frecuentemente,Frecuentemente,Siempre,Siempre,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Seguido,Frecuentemente,Frecuentemente,De vez en cuando,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,A menudo,Época de exámenes,No
